listing_type,state_code,property_type,address,suburb_name,postcode,bedrooms,list_date
rent,ACT,apartment,1305/2 Gribble Street,Gungahlin,2912,2,22/2/2023
rent,ACT,apartment,17/18 Currie Crescent,Kingston,2604,3,22/2/2023
rent,ACT,house,2 Fielder Place,Florey,2615,4,22/2/2023
rent,ACT,apartment,254/36 Philip Hodgins Street,Wright,2611,1,22/2/2023
rent,ACT,apartment,13/27 Moore Street,Turner,2612,1,22/2/2023
rent,ACT,house,14 Skermer Street,Casey,2913,4,22/2/2023
rent,ACT,house,1 Turana Street,Central,2601,2,22/2/2023
rent,ACT,house,62a Kallaroo Road,Central,2601,2,22/2/2023
rent,ACT,house,86A Woodbury Park Drive,Central,2601,2,22/2/2023
rent,ACT,house,20 Orchid Way,Central,2601,4,22/2/2023
rent,ACT,house,12A Jetty Avenue,Central,2601,3,22/2/2023
rent,ACT,townhouse,11 Devlin Street,Gungahlin,2912,4,22/2/2023
rent,ACT,townhouse,51 Levien Street,Scullin,2614,3,22/2/2023
rent,ACT,house,35 Vandyke Street,Crace,2911,3,22/2/2023
rent,ACT,house,31 Nott Street,Fraser,2615,4,22/2/2023
rent,ACT,apartment,14/21 Braybrooke Street,Bruce,2617,2,22/2/2023
rent,ACT,unit,18/20 Eyre Street,Kingston,2604,2,22/2/2023
rent,ACT,apartment,79/15 Darling Street,Barton,2600,2,22/2/2023
rent,ACT,townhouse,11/2 Pipeclay Street,Lawson,2617,3,22/2/2023
rent,ACT,duplex-semi-detached,41A Antill Street,Downer,2602,3,22/2/2023
rent,ACT,apartment,68/241 Flemington Road,Franklin,2913,2,22/2/2023
rent,ACT,apartment,15/81 Constitution Avenue,Campbell,2612,1,22/2/2023
rent,ACT,apartment,1314/120 Eastern Valley Way,Belconnen,2617,1,22/2/2023
rent,ACT,house,10B Claxton Crescent,Lyneham,2602,2,22/2/2023
rent,ACT,apartment,38/2 Hinder Street,Gungahlin,2912,2,22/2/2023
rent,ACT,apartment,20/26 Macquarie St,Barton,2600,1,22/2/2023
rent,ACT,apartment,18/2 Bamblett Rise,Denman Prospect,2611,2,22/2/2023
rent,ACT,townhouse,1/50 Enderby St,Mawson,2607,3,22/2/2023
rent,ACT,house,8 Cottrell Place,Richardson,2905,3,22/2/2023
rent,ACT,townhouse,24/1 Calaby Street,Coombs,2611,3,22/2/2023
rent,ACT,townhouse,11/72 Canberra Avenue,Griffith,2603,2,22/2/2023
rent,ACT,apartment,504/161 Emu Bank,Belconnen,2617,2,22/2/2023
rent,ACT,studio,46/47 Mcmillen Crescent,Griffith,2603,1,22/2/2023
rent,ACT,house,7 Marqua Place,Hawker,2614,3,22/2/2023
rent,ACT,unit,303/83 Cooyong Street,Reid,2612,1,22/2/2023
rent,ACT,apartment,130/264 City Walk,City,2601,2,22/2/2023
rent,ACT,house,336 Southern Cross Drive,MacGregor,2615,3,22/2/2023
rent,ACT,townhouse,12/57 Totterdell Street,Belconnen,2617,2,22/2/2023
rent,ACT,house,7 Shann Place,Chifley,2606,4,22/2/2023
rent,ACT,house,79 Sternberg Crescent,Wanniassa,2903,4,22/2/2023
rent,ACT,apartment,47/25 John Gorton Drive,Wright,2611,2,22/2/2023
rent,ACT,townhouse,4/21 Namadgi Circuit,Palmerston,2913,3,22/2/2023
rent,ACT,house,7  Gubbity Street,Ngunnawal,2913,3,22/2/2023
rent,ACT,apartment,241/325 Anketell Street,Greenway,2900,2,22/2/2023
rent,ACT,apartment,64/77 Northbourne Avenue,Turner,2612,3,22/2/2023
rent,ACT,townhouse,7/48 Florence Taylor Street,Greenway,2900,2,22/2/2023
rent,ACT,apartment,211/1 The Causeway,Kingston,2604,2,22/2/2023
rent,ACT,apartment,27/37 Braybrooke Street,Bruce,2617,1,22/2/2023
rent,ACT,townhouse,47/44 Marie Little Cres,Denman Prospect,2611,3,22/2/2023
rent,ACT,apartment,114/6 Grazier Lane,Belconnen,2617,2,22/2/2023
rent,ACT,apartment,94/5 Empire Circuit,Forrest,2603,2,22/2/2023
rent,ACT,apartment,1415/25 Edinburgh Avenue,Acton,2601,1,22/2/2023
rent,ACT,house,1 Pickworth Street,Holt,2615,3,22/2/2023
rent,ACT,apartment,203/69 Hills Street,Central,2601,2,23/2/2023
rent,ACT,apartment,202/2 Terry Connolly Street,Coombs,2611,2,23/2/2023
rent,ACT,house,6 Badenoch Crescent,Evatt,2617,4,23/2/2023
rent,ACT,house,32 Scratchley Place,Monash,2904,3,23/2/2023
rent,ACT,apartment,86/2 Newchurch Street,Coombs,2611,1,23/2/2023
rent,ACT,unit,34/8 Wilkins Street,Mawson,2607,1,23/2/2023
rent,ACT,house,7/157-159 Uriarra Roads,Paddys River,2620,2,23/2/2023
rent,ACT,house,10 Rogers Road,Paddys River,2620,5,23/2/2023
