iter	Passed	Remaining
794	32819	8462
795	32860	8421
796	32901	8380
797	32943	8339
798	32986	8298
799	33029	8257
800	33073	8216
801	33112	8174
802	33153	8133
803	33193	8091
804	33232	8050
805	33272	8008
806	33311	7966
807	33355	7925
808	33394	7884
809	33436	7843
810	33477	7801
811	33515	7759
812	33557	7718
813	33597	7677
814	33641	7636
815	33682	7595
816	33724	7553
817	33769	7513
818	33809	7471
819	33852	7431
820	33893	7389
821	33932	7348
822	33981	7308
823	34022	7266
824	34065	7225
825	34108	7185
826	34148	7143
827	34188	7101
828	34228	7060
829	34270	7019
830	34313	6978
831	34354	6936
832	34394	6895
833	34434	6853
834	34476	6812
835	34517	6771
836	34555	6729
837	34595	6687
838	34636	6646
839	34678	6605
840	34717	6563
841	34756	6522
842	34794	6480
843	34835	6438
844	34878	6397
845	34924	6357
846	34971	6317
847	35015	6276
848	35057	6235
849	35104	6194
850	35150	6154
851	35191	6113
852	35232	6071
853	35274	6030
854	35315	5989
855	35354	5947
856	35394	5905
857	35436	5864
858	35475	5823
859	35514	5781
860	35553	5739
861	35593	5698
862	35631	5656
863	35670	5614
864	35712	5573
865	35749	5531
866	35788	5490
867	35825	5448
868	35866	5406
869	35909	5365
870	35952	5324
871	35991	5283
872	36035	5242
873	36076	5200
874	36117	5159
875	36158	5118
876	36198	5076
877	36239	5035
878	36282	4994
879	36322	4953
880	36363	4911
881	36402	4870
882	36443	4828
883	36484	4787
884	36527	4746
885	36566	4704
886	36610	4664
887	36649	4622
888	36687	4580
889	36726	4539
890	36764	4497
891	36804	4456
892	36845	4414
893	36886	4373
894	36927	4332
895	36971	4291
896	37012	4250
897	37052	4208
898	37092	4167
899	37132	4125
900	37175	4084
901	37220	4043
902	37261	4002
903	37300	3961
904	37341	3919
905	37383	3878
906	37425	3837
907	37469	3796
908	37509	3755
909	37544	3713
910	37580	3671
911	37616	3629
912	37655	3588
913	37694	3546
914	37731	3505
915	37770	3463
916	37811	3422
917	37850	3380
918	37892	3339
919	37931	3298
920	37969	3256
921	38008	3215
922	38048	3174
923	38086	3132
924	38125	3091
925	38165	3049
926	38206	3008
927	38246	2967
928	38287	2926
929	38326	2884
930	38365	2843
931	38405	2802
932	38445	2760
933	38483	2719
934	38520	2677
935	38564	2636
936	38603	2595
937	38644	2554
938	38684	2513
939	38725	2471
940	38765	2430
941	38806	2389
942	38846	2348
943	38889	2306
944	38929	2265
945	38967	2224
946	39006	2183
947	39045	2141
948	39088	2100
949	39127	2059
950	39165	2017
951	39204	1976
952	39245	1935
953	39289	1894
954	39328	1853
955	39367	1811
956	39406	1770
957	39445	1729
958	39485	1688
959	39525	1646
960	39563	1605
961	39602	1564
962	39646	1523
963	39686	1482
964	39726	1440
965	39767	1399
966	39807	1358
967	39848	1317
968	39900	1276
969	39942	1235
970	39985	1194
971	40024	1152
972	40063	1111
973	40106	1070
974	40146	1029
975	40185	988
976	40224	946
977	40264	905
978	40304	864
979	40350	823
980	40394	782
981	40438	741
982	40480	700
983	40522	658
984	40565	617
985	40606	576
986	40645	535
987	40685	494
988	40724	452
989	40763	411
990	40801	370
991	40842	329
992	40881	288
993	40919	246
994	40958	205
995	40997	164
996	41036	123
997	41083	82
998	41123	41
999	41168	0
